feature,importance,coefficient
active_months,0.19807868464634432,-0.5607377307478576
distinct_products,0.13661544478609183,-0.38674244344481606
recency_days,0.11513112667555116,0.3259228362999136
gap_mean_days,0.09106089560708411,0.2577828101683442
total_quantity,0.07614842865772986,-0.2155673497215876
hour_std,0.06335329271760587,-0.17934580723464388
orders_last_30d,0.061052491021614586,-0.17283250508800233
tenure_days,0.0511209283292641,-0.14471740559190177
avg_order_value,0.047663784951104314,0.1349306345609832
hour_mean,0.039915374788284115,0.11299578609729907
frequency,0.037972401502879206,0.1074954545855724
gap_std_days,0.024780448239276814,0.07015056838354905
cohort_month,0.02414314985506667,0.06834645074005141
monetary,0.016705354623049028,-0.04729091703830448
weekend_ratio,0.00644922643910325,-0.018257010364333436
avg_items_per_order,0.004480564347485952,0.012683956828392622
avg_unit_price,0.003694406789336828,0.010458436167480094
is_uk,0.0016339960231279984,-0.0046256527990162395
